id,song_name,artist,pic_url,preview_url,decade,release_year
7GnMzVWOHLBPcfco4L1GtE,Earth Angel,The Penguins,https://i.scdn.co/image/ab67616d0000b27362edbd6bd191200de1581b4c,https://p.scdn.co/mp3-preview/b99fa7e973c8e5b6af8af155c6d5a48325d0860d?cid=f4f54a850da14f27a6e2b44603fe8013,1950,1954
4IYyGIbMS5ZkxDXGfPIrXr,Come Go With Me,The Del-Vikings,https://i.scdn.co/image/ab67616d0000b273c223c0c9fc255e7019a5296a,,1950,1997
0GVvRmCoiLkhxJvlZy9bLk,In The Still of the Night,The Five Satins,https://i.scdn.co/image/ab67616d0000b2739e8ad4f8a33d8a0968769165,https://p.scdn.co/mp3-preview/e4897f4ed35c5e52e996e7884f24467c9338b4c9?cid=f4f54a850da14f27a6e2b44603fe8013,1950,1993
7Gpx2fNJiilvrf9Ss8qbit,Calendar Girl,Neil Sedaka,https://i.scdn.co/image/ab67616d0000b2733843b432892fdff0ffd2c96d,https://p.scdn.co/mp3-preview/bc417cc6ad239831f48e0ee8383e4bb116bcfe81?cid=f4f54a850da14f27a6e2b44603fe8013,1950,1959
0x0ffSAP6PkdoDgHOfroof,My Funny Valentine - Remastered,Frank Sinatra,https://i.scdn.co/image/ab67616d0000b2734ad936718c2e69b45868bd44,,1950,1954
5d6ZRqgbz26Sg4bk1oifQw,Blue Suede Shoes,Carl Perkins,https://i.scdn.co/image/ab67616d0000b27356cb96b27916cc2db4d9aeaf,,1950,1957
1CTex49P0iWwzUGsMNjgaV,Strange Fruit,Billie Holiday,https://i.scdn.co/image/ab67616d0000b273f8743d2c7812763f7f66e83b,,1950,1957
760clbeDBWmBsBLbszWuNZ,I'm A Man,Bo Diddley,https://i.scdn.co/image/ab67616d0000b273dcd1d02a2b91f0842ad105ed,,1950,1958
4tmy6FB76bR5eLmx0zO1mn,Pennies From Heaven,Louis Prima,https://i.scdn.co/image/ab67616d0000b273a06458b080f396941f2a2af9,,1950,1957
1V4NaFlrUCK49MXcdOcVeS,They Can't Take That Away From Me,Ella Fitzgerald,https://i.scdn.co/image/ab67616d0000b273a0b669c5273f36ffefcf1ebc,,1950,1997
5KG2ahk1cONbHvg3dBdTbx,Mr. Lonely,Bobby Vinton,https://i.scdn.co/image/ab67616d0000b2735980cda6de8365d077f34a5e,https://p.scdn.co/mp3-preview/735f425704af22f60962fa193c0df3f1fe7622dd?cid=f4f54a850da14f27a6e2b44603fe8013,1950,1962
4bzvhZFlV9UqQ3EmV2i8s4,Who's Sorry Now,Connie Francis,https://i.scdn.co/image/ab67616d0000b273c9a04e077308f223269e240f,,1950,2005
4uxsv9PjV3Yeyn51RdWvGJ,Misty,Johnny Mathis,https://i.scdn.co/image/ab67616d0000b27372ddee406b1d5f70de813c64,https://p.scdn.co/mp3-preview/f27679a3676b97425aef16e23180cbcc98839b53?cid=f4f54a850da14f27a6e2b44603fe8013,1950,1959
07GtDOCxmye5KDWsTSACPk,Chantilly Lace,The Big Bopper,https://i.scdn.co/image/ab67616d0000b27348d18e159a1b99329343be14,,1950,1958
33aYzW5ToRjiFOzkubeJ8H,Rave On,Buddy Holly,https://i.scdn.co/image/ab67616d0000b27358816b5b546bdc2c0e7f6416,,1950,1958
4YXKKnIZuk7UtXH5oC0ffa,Lucille,Little Richard,https://i.scdn.co/image/ab67616d0000b273cc4c510d6d19a2d03e2fc757,,1950,1969
3SQhmctWreNM0X6Zkm2K5R,Maybellene,Chuck Berry,https://i.scdn.co/image/ab67616d0000b273a496dc8c33ca6d10668b3157,,1950,1959
7ycFNferNuk6wAjBa0vWvl,Little Darlin',The Diamonds,https://i.scdn.co/image/ab67616d0000b2736d1cec02080d64bcecf938f4,,1950,1996
7vAw4LLIms6X8ZHcbtoazz,I Wonder Why,Dion & The Belmonts,https://i.scdn.co/image/ab67616d0000b2737a609132064a415169a915cc,,1950,1959
1xVOttVNT27FBTD8iHjOfU,It's Only Make Believe,Conway Twitty,https://i.scdn.co/image/ab67616d0000b27300bc11e4af98a74a21c18aaf,,1950,1959
7tqhbajSfrz2F7E1Z75ASX,Ain't No Mountain High Enough,Marvin Gaye,https://i.scdn.co/image/ab67616d0000b2739173e50e99bdea2400222f02,,1960,1967
4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,Creedence Clearwater Revival,https://i.scdn.co/image/ab67616d0000b2739f39192f9f8ca1c90847b3e5,,1960,1969
6dGnYIeXmHdcikdzNNDMm2,Here Comes The Sun - Remastered 2009,The Beatles,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,,1960,1969
63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black",The Rolling Stones,https://i.scdn.co/image/ab67616d0000b273bad7062c3fd2f2d037989694,,1960,1966
3yrSvpt2l1xhsV9Em88Pul,Brown Eyed Girl,Van Morrison,https://i.scdn.co/image/ab67616d0000b2733f29a976eea00141514ab936,https://p.scdn.co/mp3-preview/731469a968c3295114a2b7052610674bf56c6048?cid=f4f54a850da14f27a6e2b44603fe8013,1960,1967
745H5CctFr12Mo7cqa1BMH,My Girl,The Temptations,https://i.scdn.co/image/ab67616d0000b2731a5b6271ae1c8497df20916e,,1960,1965
4s6LhHAV5SEsOV0lC2tjvJ,California Dreamin' - Single Version,The Mamas & The Papas,https://i.scdn.co/image/ab67616d0000b27308181b9f840a06e7a071cf72,,1960,1966
1qRA5BS78u3gME0loMl9AA,For What It's Worth,Buffalo Springfield,https://i.scdn.co/image/ab67616d0000b273d231bd1716b71b6444e25f89,https://p.scdn.co/mp3-preview/53ab746c37c717c20f793598064b7f720877b646?cid=f4f54a850da14f27a6e2b44603fe8013,1960,1966
44AyOl4qVkzS48vBsbNXaC,Can't Help Falling in Love,Elvis Presley,https://i.scdn.co/image/ab67616d0000b273f96cefb0197694ad440c3314,https://p.scdn.co/mp3-preview/962e228fc976da0f39439d99893b3d7151031577?cid=f4f54a850da14f27a6e2b44603fe8013,1960,1961
62AuGbAkt8Ox2IrFFb8GKV,Sweet Caroline,Neil Diamond,https://i.scdn.co/image/ab67616d0000b2734d1a7a3e5043173883653ffc,,1960,1969
20OFwXhEXf12DzwXmaV7fj,Bad Moon Rising,Creedence Clearwater Revival,https://i.scdn.co/image/ab67616d0000b2733efcd243aaa5638f55318f91,,1960,1969
